obs;Data;FZ_POA_total_deflacion;FZ_POA_1D_deflacion;FZ_POA_2D_deflacion;FZ_POA_3D_deflacion;FZ_POA_4D_deflacion;IPCA_POA;CUB_RS;Var_RY_BR_Total;Var_RY_BR_1Dorm;Var_RY_BR_2Dorm;Var_RY_BR_3Dorm;Var_RY_BR_4Dorm;Var_Tx_financ_imob;Var_IBCR_RS;Var_Tx_desocup_BR;Var_expect_infl
2012M08;41122;1.44377090096959;0.437138441740936;2.1232747944222;1.42566596590574;-0.432607681334707;0.48;0.231586366611292;-0.724271190489392;-1.15915401584605;-0.541518527843256;-0.755431855474018;0.13057188962104;0;3.18826717678943;-1.33333333333333;3.22580645161291
2012M09;41153;0.287402370194556;0.0391329592829059;0.750514896498045;0.046688132335615;-4.50937884803868;0.58;0.350595208197291;-0.486367181903757;-0.838559318229501;-0.436385213036425;-0.532336501898734;0.437454465001177;1.5625;-6.33400278078171;-4.05405405405406;-1.56250000000001
2012M10;41183;0.230459410103112;0.238399953314938;0.384344712380869;0.0894855227711933;-1.8709384558048;0.5;-0.363385188299603;-0.755089199434524;-1.85514081017733;-0.317216845191663;-0.765387162074483;1.33618435200439;0;6.34999175325747;-1.40845070422535;0
2012M11;41214;0.742354113207355;1.10889362848561;0.781314806377331;0.471366733074219;-1.68358602349685;0.41;0.0763581195808438;-0.50246046406567;-0.931535862826443;-0.483898434295492;-0.0318160664458945;-0.345227475837594;-1.53846153846154;1.06234491315137;-2.85714285714286;3.17460317460318
2012M12;41244;0.540785199917426;0.430054868072594;0.456216435554069;0.743823827706902;0.998842764382313;0.62;0.00100394550583971;-0.416705056709786;-0.847161998184805;-0.231640396265001;0.300101196140673;-1.35361978909739;-1.5625;-0.943758152382428;1.47058823529413;-1.53846153846153
2013M01;41275;0.408487833142357;0.35194195809769;0.403433816252385;0.461893487220255;0.687134870223582;0.87;1.9094851819131;0.115179079576442;1.78964297236615;-1.05826234026895;0.106102524050774;0.984515735207198;1.58730158730159;1.72734314484897;5.79710144927535;-1.56250000000001
2013M02;41306;0.77393859064494;1.11908877899178;0.432875097434549;0.76334717527724;1.51797106495244;0.35;0.209831543690275;0.0306629879077085;0.0705187260305129;0.0695267754900399;0.0379767694677217;-0.39396092602277;-3.125;5.42145739739585;6.84931506849315;9.52380952380953
2013M03;41334;0.738952752037991;1.33429040010933;0.358059594393856;0.449910580882662;1.69817028504173;0.46;0.598684663252169;-0.0699932079698442;0.050189991557894;-0.0270555062668377;-0.308949248517707;-0.116695748043895;0;16.2007945106537;3.84615384615384;0
2013M04;44673;0.664482182249504;1.14377155561083;0.575500969795972;0.159346559331142;0.97128237995967;0.32;0.0166125943009021;-0.370016734347097;-0.46650517738909;-0.0856713256453594;-0.658319924815365;-0.696227339290393;1.61290322580645;-3.97190452511188;-2.46913580246913;1.44927536231884
2013M05;41395;-0.0536162103214943;-0.014077788025002;0.117352554325745;-0.294384343558607;-0.63317556766358;0.5;0.876413057284386;-0.701459075154441;-0.837936567192736;-0.573013817756765;-0.780628073321496;-0.774236982188435;0;-13.0946986859991;-2.53164556962026;2.85714285714286
2013M06;41426;0.545991938522539;0.598199589448534;0.800185791928731;0.130053879250847;0.407101094116125;0.17;3.3550936598028;-0.939821639073548;-1.24340028815092;-0.559069834048353;-0.94155675262729;-1.74047474252803;0;-3.94756442723073;-2.5974025974026;0
2013M07;41456;0.855545050025874;1.04433361002962;0.912671138557042;0.543121419310522;0.729364739459748;0.1;0.751569674819597;-1.02437490111836;-1.2521806719444;-0.797281922086368;-0.920632682957932;-1.54949139231563;1.58730158730159;4.10980148883373;-1.33333333333333;0
2013M08;41487;1.68710036933921;1.92613560870203;1.73086183278146;1.36178053125209;1.18032976616138;0.4;0.604583674380543;-0.894285707552437;-0.860019149381651;-0.824668586459304;-1.01414800970301;-0.894080457208776;1.5625;0.119171756293756;-2.7027027027027;-2.77777777777778
2013M09;41518;0.757857242437732;0.783954987029256;0.845714743523129;0.678598890913684;-0.152301690514745;0.63;-0.0943029899595049;-0.760150748061335;-0.770545796393498;-0.920659318943362;-0.794987173419996;0.154440521756409;3.07692307692308;-3.57833655705994;-2.77777777777778;1.42857142857142
2013M10;41548;0.902810483872218;0.354663115615916;1.04214987366082;1.30319681272479;2.12846158562541;0.55;0.410882842865079;-0.649178420887394;-0.542967754885612;-0.0357172991973455;-1.52212065057928;0.580151833032277;4.47761194029849;6.31895687061183;-2.85714285714286;0
2013M11;41579;0.0647504861118309;0.0121196109668986;0.014958330759085;0.136634522296997;0.820127232586776;0.61;0.625783381257827;-0.567990365924639;-0.842543781941204;-0.450122190550338;-0.814855724768991;0.542635352008292;1.42857142857143;0;-2.94117647058824;1.40845070422536
2013M12;41609;0.186443612223752;0.164175518959286;0.00214979164068207;0.328991075499929;1.86976461268142;0.67;0.399329565958073;-0.328390377943721;0.0705624418583377;-0.449726478592688;-0.895836118970696;0.519289755492141;0;-3.01886792452832;-4.54545454545454;-1.3888888888889
2014M01;41640;0.634181344608153;1.28677802211914;0.229425926397653;0.353240374872765;0.772722792912139;0.53;1.5663343033598;-1.14545538277354;-1.17062914634602;-0.889533589353528;-0.443978581548159;-5.48979289701985;7.04225352112677;1.81083507931758;3.17460317460318;2.81690140845071
2014M02;41671;-0.82325654369918;-0.448521207246722;-1.05746745629589;-1.09778636958286;0.435547714579765;0.46;0.638607458503992;0.181331342959624;0.28902322405056;0.0625930547756897;0.327444791473506;-0.245420342972022;-7.89473684210527;7.02631192121123;4.61538461538461;-1.36986301369863
