obs,Data,FipeZap_POA_3Dorm,Rent_Yield_Br,IPCA_POA,SINAPI_RS,Tx_financ_imob,CUB_RS_varmens,PIB_RS_vartrimestr,Tx_desocup_RS,SELIC_aa,IBCR_RS,Tx_desocup_BR
2012M07,41091,0.909502972208356,0.435581833456471,0.6,0.15,0.64,2.51765143069491,8.68882289329618,4.7,8.5,125.42,7.5
2012M08,41122,1.91250916254208,0.432291309529883,0.48,0.44,0.64,0.231586366611292,8.68882289329618,4.7,8,129.43,7.4
2012M09,41153,0.626958923503175,0.429990065094719,0.58,0.48,0.65,0.350595208197291,8.68882289329618,4.7,7.5,121.24,7.1
2012M10,41183,0.589932950385028,0.426698976338288,0.5,0.02,0.65,-0.363385188299603,-0.0707074399889041,4.4,7.5,128.73,7
2012M11,41214,0.883299336679835,0.426563217508452,0.41,0.05,0.64,0.0763581195808438,-0.0707074399889041,4.4,7.25,130.17,6.8
2012M12,41244,1.36843553543869,0.427843338826492,0.62,0.13,0.63,0.00100394550583971,-0.0707074399889041,4.4,7.25,129.43,6.9
2013M01,41275,1.33591196055907,0.42829729140797,0.87,0.31,0.64,1.9094851819131,2.50308746041183,5.4,7.25,131.21,7.3
2013M02,41306,1.11601889039072,0.428459944882964,0.35,1.43,0.62,0.209831543690275,2.50308746041183,5.4,7.25,139.41,7.8
2013M03,41334,0.911980169554705,0.427136221103049,0.46,1.05,0.62,0.598684663252169,2.50308746041183,5.4,7.25,160.56,8.1
2013M04,41365,0.479856468320996,0.424324298253424,0.32,0.03,0.63,0.0166125943009021,4.40407438045713,4.6,7.25,154.08,7.9
2013M05,41395,0.204143734723589,0.421011903659333,0.5,-4.95,0.63,0.876413057284386,4.40407438045713,4.6,7.5,134.1,7.7
2013M06,41426,0.300274970845575,0.417047837651064,0.17,9.88,0.63,3.3550936598028,4.40407438045713,4.6,8,128.99,7.5
2013M07,41456,0.643664540729811,0.413208358954079,0.1,-5.52,0.64,0.751569674819597,-1.37458601887488,4.9,8,134.21,7.4
2013M08,41487,1.76722765337708,0.40901781460582,0.4,-0.45,0.65,0.604583674380543,-1.37458601887488,4.9,8.5,134.4,7.2
2013M09,41518,1.31287406392645,0.405766175442701,0.63,0.36,0.67,-0.0943029899595049,-1.37458601887488,4.9,9,129.57,7
2013M10,41548,1.86036439519479,0.399589924693222,0.55,0.09,0.7,0.410882842865079,0.527757420100294,4.7,9,137.42,6.8
2013M11,41579,0.747467992883009,0.396333843316259,0.61,-0.4,0.71,0.625783381257827,0.527757420100294,4.7,9.5,137.45,6.6
2013M12,41609,1.00119531570576,0.392783341596127,0.67,0.43,0.71,0.399329565958073,0.527757420100294,4.7,10,133.98,6.3
2014M01,41640,0.885112548859595,0.391039467687551,0.53,0.11,0.76,1.5663343033598,0.125588523694775,5.4,10,135.98,6.5
2014M02,41671,-0.642836186882952,0.3923199060571,0.46,0.65,0.7,0.638607458503992,0.125588523694775,5.4,10.5,146.82,6.8
2014M03,41699,-1.6162108076142,0.393689545794676,0.93,0.65,0.78,0.372165252081724,0.125588523694775,5.4,10.75,168.09,7.2
2014M04,41730,-1.81521674658607,0.3933115267723,1.08,0.54,0.74,0.435694977948486,-1.40337027144718,5,10.75,155.03,7.2
2014M05,41760,0.032449517916987,0.392133260331185,0.75,0.62,0.76,-0.146077164155312,-1.40337027144718,5,11,134.12,7.1
2014M06,41791,0.966200175882196,0.390151895658296,0.29,0.39,0.74,3.327452145156,-1.40337027144718,5,11,124.3,6.9
2014M07,41821,0.950783035991117,0.388189107775561,0.05,3.88,0.77,0.364675395994585,0.3697429045318,5.3,11,129.16,7
2014M08,41852,1.08505615722458,0.385958310630856,0.15,0.15,0.77,0.162438978515289,0.3697429045318,5.3,11,129.5,7
2014M09,41883,1.12933144119656,0.383117226241446,0.41,0.16,0.76,-0.256066645612296,0.3697429045318,5.3,11,129.59,6.9
2014M10,41913,1.00132140625987,0.379702289250904,0.74,0.32,0.76,-0.00342298706966782,-0.961736142485536,4.6,11,134.26,6.7
2014M11,41944,1.18265252839715,0.377193742067197,0.39,-0.35,0.74,0.261011698458735,-0.961736142485536,4.6,11.25,133.31,6.6
2014M12,41974,-0.818208533410796,0.37688489001252,0.8,0.44,0.72,0.212533501766843,-0.961736142485536,4.6,11.25,134.82,6.6
2015M01,42005,-0.771953711218501,0.37795401470031,1.19,-0.03,0.75,1.22735441668727,-1.13375118889122,5.8,11.75,131.92,6.9
2015M02,42036,-0.125719090529068,0.378251439625628,1.13,0.57,0.71,0.344978459881529,-1.13375118889122,5.8,12.25,141.42,7.5
2015M03,42064,1.6526054542493,0.37775653141846,1.81,1.54,0.79,0.33959985912897,-1.13375118889122,5.8,12.25,171.53,8
2015M04,42095,0.590310942936802,0.37610049591238,0.6,0.19,0.78,0.602525425570133,-1.53500794144243,6,12.75,154.07,8.1
2015M05,42125,0.572346548248255,0.371684116562655,0.97,0.57,0.81,0.63297448165871,-1.53500794144243,6,13.25,128.22,8.3
2015M06,42156,0.605737066172971,0.367565209085735,0.75,0.22,0.83,0.870850048701555,-1.53500794144243,6,13.25,122.29,8.4
2015M07,42186,0.618500648931789,0.362747791308301,0.81,2.24,0.86,3.84612237215736,-2.76553846007264,7,13.75,125.65,8.7
2015M08,42217,0.388359671190588,0.358856639816287,0.28,2.2,0.84,0.0748615062135194,-2.76553846007264,7,14.25,123.15,8.9
2015M09,42248,-0.575486783138571,0.355323141067531,0.56,-0.03,0.83,0.34882988440581,-2.76553846007264,7,14.25,120.24,9
2015M10,42278,0.97072555034619,0.353791192322214,0.73,-0.14,0.83,0.658354192986432,-0.936449972496156,6.7,14.25,123.8,9.1
2015M11,42309,0.460921974808552,0.352033415393223,1.03,0.47,0.84,0.358596173934744,-0.936449972496156,6.7,14.25,123.22,9.1
2015M12,42339,-0.301832547827257,0.35157342653493,0.82,0.23,0.8,0.442759713526675,-0.936449972496156,6.7,14.25,126.37,9.1
2016M01,42370,-0.018869672702011,0.347252247443752,1.56,0.04,0.83,2.14062548334211,0.0942663648784148,7.6,14.25,123.98,9.6
2016M02,42401,-0.206250411674872,0.346979278171154,0.97,2.27,0.81,0.544383536751569,0.0942663648784148,7.6,14.25,136.02,10.4
2016M03,42430,0.377601295660212,0.346160001602681,0.67,0.67,0.85,0.0323807372265561,0.0942663648784148,7.6,14.25,159.12,11.1
2016M04,42461,0.805218180142566,0.344787330342153,0.94,0.24,0.84,0.612776464565856,-0.00824965808893241,8.9,14.25,145.31,11.3
2016M05,42491,1.17015573749413,0.342578344115881,0.92,0.35,0.88,-0.277586568102239,-0.00824965808893241,8.9,14.25,124.54,11.3
2016M06,42522,-0.0231253475494029,0.340095320144692,-0.02,0.65,0.89,0.261102482724462,-0.00824965808893241,8.9,14.25,121.63,11.4
2016M07,42552,-0.0163861664086671,0.33795230028425,0.57,0.01,0.9,-0.0067350649933684,-0.0975760940856385,8.4,14.25,119.74,11.7
2016M08,42583,0.492561154792279,0.336195675535268,0.37,0.29,0.89,0.464750785810519,-0.0975760940856385,8.4,14.25,122.56,11.9
2016M09,42614,0.597366138641126,0.335504572869092,0.19,0.32,0.88,0.551247383437237,-0.0975760940856385,8.4,14.25,118.16,11.9
2016M10,42644,0.425426824041208,0.33421582552093,0.25,2.25,0.85,1.43575762514725,0.118355038758122,8.4,14.25,120.87,11.9
2016M11,42675,0.505246544425302,0.333563710043574,0.37,0.06,0.85,0.25781666532767,0.118355038758122,8.4,14,122.87,12
2016M12,42705,0.0534931825575273,0.333196243123758,-0.04,0.07,0.87,0.405035258464936,0.118355038758122,8.4,13.75,124.56,12.2
2017M01,42736,0.171375512729083,0.329766813340458,0.18,-0.13,0.87,0.539803233015057,2.14785403914126,9.3,13.75,126.25,12.7
